"station","show","show_date","text"
"MSNBC","Morning Meeting",2009-09-22 13:00:00,"the interior positively oozes class raves car magazine slick and sensuous boasts the washington times the most striking vw in recent memory declares okay i get it already i think we were in a car commercial yeah yeah we join the president at the u.n on climate change climate change is serious"
"MSNBC","Morning Meeting",2009-10-23 13:00:00,"corporations have withdrawn from the chamber of commerce because of their disagreement with the chamber on the subject of climate change we asked the chamber for comment on the latest legal fight and they referred us to their original statement on the yes men which they said public relations hoax is undermine the effort to find real solutions on the challenge of climate change joining us now on the set is mike part of the activism group called the yes american what is your objective forget climate change"
"CNN","CNN Newsroom",2009-12-03 20:00:00,"he says he was bumped by the greeter but cops didn't buy it and the guy is now under arrest all right you're looking at two years in the life of a glacier right there here's my question climate change"
"CNN","American Morning",2009-12-07 11:00:00,"especially at at time now where the climate change conference is beginning in copenhagen a lot of the world paying very close attention to this controversy and the issue in general our president headed there next week that e mail scandal may overshadow what we've been talking about this big u.n conference on climate change"
"MSNBC","Morning Meeting",2009-12-08 14:00:00,"lots more coming up quite simply here green peace activists going nuts like this is new anyway a few study claiming that global warming itself my friends could actually drive you nuts climate change"
"MSNBC","Countdown With Keith Olbermann",2009-12-10 06:00:00,"so they're carrying a lot of water for john yoo judgment at nuremberg but never judgment at the white house jonathan turley of george washington university as always great thanks for making it intelligible to folks like me thanks keith sarah palin admits climate change e mails were stolen admits there is climate change"
"CNN","Sanjay Gupta MD",2009-12-12 12:30:00,"let me ask you about something else that in some ways seems less intuitive and that's heart disease the connection between climate change and heart disease the biggest climb is it increasing because of climate change and that's heart disease the connection between climate change and heart disease the biggest climb is it increasing because of climate change well two dimensions of climate change can affect heart disease"
"CNN","The Situation Room With Wolf Blitzer",2009-12-16 21:00:00,"other important news we're following including this going green and seeing red we're talking about sarah palin hitting back at the california governor arnold schwarzenegger after he took a swipe at her on the issue of climate change our senior political correspondent candy crowley is here to talk a little bit about this what's the feud all about it's all about climate change"
"MSNBC","Countdown With Keith Olbermann",2009-12-19 01:00:00,"let democrats be democrats craig crawford of msnbc and congressional many thanks craig ahead president obama on the world stage the president reaches a deal on climate change in copenhagen is it climate change we can believe"
"MSNBC","The Rachel Maddow Show",2010-01-08 04:00:00,"you know there are real fights to have over health reform what did we do we followed the republicans lead and spent all that time talking about death panels which is made up government takeover and on climate change"
"CNN","American Morning",2010-01-28 11:00:00,"let us find a way to come together and finish the job for the american people let's get it done reporter there was a laundry list of other polgs proposals reforms for wall street climate change legislation"
"MSNBC","Morning Joe",2010-01-29 11:00:00,"from the number two al qaeda guy to number one i say that because my commute won't be five minutes longer al jazeera aired another audiotape said to be the voice of osama bin laden nbc has not confirmed if it was recorded by bin laden he blames the united states and other industrialized nations for climate change he's getting into climate change"
"MSNBC","The Dylan Ratigan Show",2010-02-10 21:00:00,"good afternoon i am dylan ratigan it is snowing you know that it sparked a debate about climate change"
"CNN","The Situation Room With Wolf Blitzer",2010-02-15 22:00:00,"kind of feels more like an ice age with all the snow going on wolf i guess you could call it climate change as opposed to global warming might be a more accurate description of what's going on is that right you know what wolf someone was talking in my ear when you were asking me that question climate change versus global warming"
"CNN","The Situation Room With Wolf Blitzer",2010-03-04 22:00:00,"you know senate democrats are making life and re election very uncomfortable for their colleagues in the house here is why remember president obama promised transformation and wanted bold action on jobs on financial reform climate change"
"MSNBC","Hardball With Chris Matthews",2010-03-24 04:00:00,"well what do you make it seems like there's so much before you now the energy question in this country our reliance on foreign oil climate change educational challenges"
"MSNBC","The Dylan Ratigan Show",2010-04-01 20:00:00,"is it getting more efficient is there anything here if we're going to continue to have to obviously rely on the government in these situations are we getting better at responding as far as you can tell well dylan i think there's one overriding piece that we refuse to address as a country and that's dealing with climate change climate change is real"
"MSNBC","Andrea Mitchell Reports",2010-04-26 17:00:00,"this bill is a strong energy independence climate change new jobs bill it has the support of the broadest group of cosponsors business and environmental ever for a bill of this kind and the good news is andrea this nothing has changed with all that the substance is still and the political supporters in the right shape the problem is process and around here sometimes process is stop good policy and the problem is that senator graham feels that this is his priority energy climate change"
"MSNBC","Countdown With Keith Olbermann",2010-05-14 00:00:00,"and it works for anything the national endowment for the arts advocating through art is known as propaganda should look up the name gurbls teaching about climate change"
"MSNBC","Hardball With Chris Matthews",2010-07-12 21:00:00,"they get the cash when they win we pay when we lose i couldn't agree with you more here's the hot one climate change"
"MSNBC","The Ed Show",2010-07-13 22:00:00,"is now ready to take action on climate change"
"MSNBC","Countdown With Keith Olbermann",2010-07-14 05:00:00,"climate change"
"MSNBC","The Daily Rundown",2010-07-16 13:00:00,"you can be you can be on kind of soft shifting soil and you get that jell o effect if that's the kind of soil your house lies on you might have felt it greater we have an epidemic of hot air you have quakes climate change"
"MSNBC","Countdown With Keith Olbermann",2010-08-10 00:00:00,"it's just the right thing to do the daughter insists the white house cow tow to public opinion and it is part of greenland which broke off thank goodness a couple of snowstorms last winter has proved there is no climate change there is no climate change"
"CNN","The Situation Room With Wolf Blitzer",2010-08-23 21:00:00,"mccain's gone from maverick to panderer he's also changed his tune on don't ask don't tell he once said that he supported the repeal of that policy now he's promising to filibuster any bill that would do just that climate change"
"MSNBC","Countdown With Keith Olbermann",2010-09-30 03:00:00,"call or click today for your free information kit with dvd call the number on your screen or visit tempurpedic.com tempur pedic the most highly recommended bed in america per climate change changed"
"MSNBC","Countdown With Keith Olbermann",2010-09-30 08:00:00,"indeed todd merrifield well spoken again thank you for your time and being as public as you have been with this thank you today it is a small committee dedicated mainly to publicizing climate change but if the gop wins one republican congressman wants to turn into a venue for witch hunt against those fighting climate change climate change change"
"MSNBC","The Daily Rundown",2010-10-01 13:00:00,"al qaeda operatives have released what appears to be a new audiotape from osama bin laden on the tape bin laden expresses worry over natural disasters in what would be the insurgent leaders's first public comments in months he's now a weatherman i would like to hear more about that climate change"
"MSNBC","Morning Joe",2010-11-02 10:00:00,"people are canceling left and right because they don't give a damn about cheese would you keep writing columns about cheese this ain't cheese joe this is health care reform climate change"
"MSNBC","Morning Joe",2010-11-15 11:00:00,"you'll nefrver have that industry here what i say when i speak to people you don't believe in hot you don't believe in climate change anybody got an eraser out there take off hot you don't believe in climate change"
"MSNBC","Morning Joe",2010-11-16 11:00:00,"it's half a percentage point of where we need to go it's about changing the entire engine so this is about making it cost effective some people say global warming some say climate change"
"CNN","CNN Newsroom",2010-11-26 18:00:00,"people are living differently now they're consuming less americans just shop too much we're just wrapped in fossil fuels climate change is real"
"MSNBC","The Rachel Maddow Show",2010-12-30 02:00:00,"along with all sorts of new members of congress being sworn in one other really important thing will happen all of the committees in the house switch from democratic control to republican control and in the case of climate change here's the one that matters to you the house energy and commerce committee will now be headed up by this gentleman congressman fred upton of michigan if climate change legislation will happen in the congress it has to go through fred upton's energy committee where does he stand on climate change"
"MSNBC","Countdown With Keith Olbermann",2011-01-04 07:00:00,"he wants to investigate why the administration blamed wall street for the economic meltdown not poor people climate change change as the greenhouse gas regulations go into effect suddenly all of the would be gop presidents have stopped saying anything that even remotely sounds like this i believe that man's activities certainly can be contributing to the issue of global warming climate change our country must take action to address climate change the gop's witch hunter in chief mr issa goes obama hunting he has been one of the most corrupt presidents in modern times this is one of the most corrupt administrations which is what i meant to say there he wants to investigate why the administration blamed wall street for the economic meltdown not poor people climate change change cap and trade i think would be a disaster then there's the consistently inconsistent mike huckabee just last week he denied supporting cap and trade during the 2007 republican primaries perhaps blacking out on the fact that he declared that support on camera climate change is here"
"MSNBC","News Nation",2011-01-14 19:00:00,"the warmer temperatures help contribute to the heavy rains might we see more of this well absolutely because the oceans are warming as we all know there's climate change going on"
"MSNBC","The Last Word",2011-01-26 04:00:00,"which may be nothing at all royal caribbean international visit royalcaribbean.com today the president didn't even mention gun and ammunition control he didn't mention climate change but he absolutely addressed it when he talked about his three priorities one of them is clean energy it's the same way as saying we're going to combat climate change when have you a million electric cars on the road which is his vision and when you move to clean electricity for 80 of americans you really are talking about change here and yes he didn't say climate change"
"MSNBC","The Last Word",2011-01-26 06:00:00,"but he absolutely addressed it when he talked about his three priorities one of them is clean energy it's the same way as saying we're going to combat climate change when have you a million electric cars on the road which is his vision and when you move to clean electricity for 80 of americans you really are talking about change here and yes he didn't say climate change"
"MSNBC","The Daily Rundown",2011-02-09 14:00:00,"you say your goal is to prohibit the epa from quote gating any regulation concerning climate change are you saying that you are not convinced that climate change is occurring what we're saying is this the clean air act when it was passed in the early 90s did not give the epa the authority to regulate greenhouse gases you say possible climate change"
"MSNBC","Hardball With Chris Matthews",2011-02-22 22:00:00,"in new hampshire tea parties introduced a bill that to fend from innovation rebillion or insurrection in montana a bill called global warming quote a natural occurrence which is beneficial to the welfare and business climate of montana that's all you have to do go away climate change goes away"
"MSNBC","Hardball With Chris Matthews",2011-02-23 00:00:00,"in new hampshire tea parties introduced a bill that establishing a permanent state force to defend from quote invasion rebellion or insurrection in montana a bill called global warming quote a natural occurrence which is beneficial to the welfare and business climate of montana you just say it that's all you have to do go away climate change goes away"
"MSNBC","Hardball With Chris Matthews",2011-04-05 21:00:00,"i really like boehner as a person you can tell i like him you can tell he's almost breaking out in tears myselfable about these policy riders they don't belong in this discussion and i think that the president knows that and i think john boehner cultural earmarks yeah planned parenthood whatever but especially climate change and i'll say without any prejudice radical basically get rid of obama's health care bill which he spent two years fighting and the democrats spent 100 years trying to get through basically abolishing medicare the way it was created back in the 60s getting rid of any funding for birth control basically no climate change"
"MSNBC","Hardball With Chris Matthews",2011-04-05 23:00:00,"basically get rid of obama's health care bill which he spent two years fighting and the democrats have spent 100 years trying to get through basically abolishing medicare the way it was created back in the 60s basically getting rid of it getting rid of any funding for birth control basically no climate change"
"MSNBC","The Last Word",2011-05-21 00:00:00,"i would have voted for it including the medicare provisions including the medicare provisions huntsman's other answers in interviews today were not all republican talking points on climate change do you believe that climate change is caused in part by human behavior"
"MSNBC","News Nation",2011-05-23 18:00:00,"also it could be just random chance what about climate change you have many people who see these severe storms and not just the tornadoes but the strength of hurricanes and even the severe storms we're getting hail and high winds right now from texas i believe all the way through the midwest is this a result of climate change or an effect of climate change right well part of it is the population has grown and cities and suburbs have expanded so there's a higher probability that people will actually get struck also it could be just random chance what about climate change"
"CNN","CNN Newsroom",2011-06-12 21:00:00,"let's bring in meteorologist alexandra steele with a look at what's happening with the fires floods weather weather weather that's right we've talked about this i think extreme is the new normal of course global climate change let's bring in meteorologist alexandra steele with a look at what's happening with the fires floods weather weather weather that's right we've talked about this i think extreme is the new normal of course global climate change"
"CNN","The Situation Room With Wolf Blitzer",2011-06-22 21:00:00,"he has a 7,000 word essay about the role of media and academia and politicians and others it's a good essay i hope everyone will get an opportunity to read all about it al gore is still relevant he is out there raising money for important causes not just climate change"
"FOX News","The Five",2011-07-21 21:00:00,"greg never mind bob i want to move on and talk about this idea called the u.n green helmets metaphor for environmentalists more environmentalists u.n security council is considering climate change peacekeeping they're having a meeting to discuss whether they should intervene in conflicts due to rising sea levels they believe the small island states will disappear due to climate change there are people saying that climate change is worse than terrorism"
"FOX News","The Five",2011-07-22 06:00:00,"never mind bob i want to talk about this idea called the u.n green helmets a metaphor for more environmentalism considering climate change peace keeping and having a meeting to suggest whether they should intervene in conflicts due to rising sea levels they believe small island state letts disappear because of climate change and even people saying that climate change is worse than terrorism"
"FOX News","The Five",2011-07-26 21:00:00,"nobody cares al gore wants to sell it and people want to buy it his alarmism killed the movement nobody cares about global warming nobody does now it's called climate change"
"FOX News","Red Eye",2011-08-18 07:00:00,"they don't exercise i accept i can accept climate change it is the whole man made thing that seems farfetched to me where do you stand on this or sit where do i sit on climate change or rick perry's position on climate change it is just getting old maybe the polar bear just died of a heart attack it was old they don't exercise i accept i can accept climate change"
"MSNBC","Morning Joe",2011-08-18 10:00:00,"the new york times reports the justice department opened an investigation into standard and poor the probe that started before the agencies downgrade before the united states downgrading do we need an investigation into that those who wanted to give low ratings was overruled climate change"
